census_key,FIPS,Tract,Block,Tract_block
33.82_-84.36200000000001,131210094021011.00,'009402','1011','009402':'1011'
33.827_-84.36200000000001,131210094033016.00,'009403','3016','009403':'3016'
33.754_-84.36200000000001,131210030002027.00,'003000','2027','003000':'2027'
33.853_-84.36200000000001,131210100023025.00,'010002','3025','010002':'3025'
33.69_-84.36200000000001,131210070022000.00,'007002','2000','007002':'2000'
33.766_-84.363,131210017001017.00,'001700','1017','001700':'1017'
33.754_-84.363,131210030002029.00,'003000','2029','003000':'2029'
33.773_-84.363,131210014001010.00,'001400','1010','001400':'1010'
33.756_-84.363,131210030001016.00,'003000','1016','003000':'1016'
33.787_-84.363,131210002004002.00,'000200','4002','000200':'4002'
33.856_-84.363,131210100023016.00,'010002','3016','010002':'3016'
33.824_-84.363,131210094022007.00,'009402','2007','009402':'2007'
33.83_-84.363,131210094033016.00,'009403','3016','009403':'3016'
33.688_-84.363,131210070022007.00,'007002','2007','007002':'2007'
33.735_-84.363,131210053001004.00,'005300','1004','005300':'1004'
33.751_-84.363,131210032001009.00,'003200','1009','003200':'1009'
33.667_-84.363,131210072001007.00,'007200','1007','007200':'1007'
33.821999999999996_-84.363,131210094022019.00,'009402','2019','009402':'2019'
33.823_-84.363,131210094022007.00,'009402','2007','009402':'2007'
33.779_-84.363,131210014002006.00,'001400','2006','001400':'2006'
33.751999999999995_-84.363,131210032001009.00,'003200','1009','003200':'1009'
33.79_-84.363,131210002003002.00,'000200','3002','000200':'3002'
33.775999999999996_-84.363,131210014001004.00,'001400','1004','001400':'1004'
33.826_-84.363,131210094033016.00,'009403','3016','009403':'3016'
33.758_-84.36399999999999,131210030001001.00,'003000','1001','003000':'1001'
33.819_-84.36399999999999,131210094021009.00,'009402','1009','009402':'1009'
33.766_-84.36399999999999,131210017001005.00,'001700','1005','001700':'1005'
33.705999999999996_-84.36399999999999,131210068021002.00,'006802','1002','006802':'1002'
33.774_-84.36399999999999,131210014001003.00,'001400','1003','001400':'1003'
33.775_-84.36399999999999,131210014001003.00,'001400','1003','001400':'1003'
33.85_-84.36399999999999,131210100023027.00,'010002','3027','010002':'3027'
33.765_-84.36399999999999,131210017001022.00,'001700','1022','001700':'1022'
33.866_-84.36399999999999,131210100022021.00,'010002','2021','010002':'2021'
33.863_-84.36399999999999,131210100022019.00,'010002','2019','010002':'2019'
